price,mileage
34100,10167
28700,11457
24700,26590
46500,35346
29000,12953
25500,26693
39500,25071
33100,33538
30500,9915
3600,1
16800,9910
24000,16765
58500,4970
55000,43964
28800,40785
26800,108998
36000,58576
20000,55475
46700,35929
42800,21669
21800,16079
18800,41147
18800,45798
30200,21703
27500,22284
37500,24567
19100,30594
17100,52747
13500,21592
54500,19853
9000,25201
16400,10351
17000,1117
24800,37279
26800,30113
19400,27570
20000,45188
7000,149712
25100,25030
2000,105743
18200,9861
14200,1751
56500,30629
2000,52883
26500,122
34300,28534
43500,80699
3500,72851
37200,24078
12800,38639
15000,146807
12500,31871
21500,76876
17300,28070
27000,3189
31800,28359
13000,42890
31800,29328
46300,47531
6000,57345
22800,67546
45000,18153
49500,17689
3000,137171
20000,63445
25300,26422
4000,149319
45500,18767
9100,38289
48000,22960
47000,17263
49500,16981
31200,13058
18500,45887
15500,21740
30500,17707
45500,19121
31500,18856
11000,84752
46500,19555
31500,16340
32000,17242
23900,28733
31500,16019
18500,75580
1500,113444
46000,19227
31500,13633
14700,37739
2700,103541
47500,24072
31500,17657
8900,77392
7000,11930
49000,19731
31500,15581
8900,70181
48000,16143
50000,17995
47300,23926
45000,57929
49000,20758
40200,10028
48000,21051
5000,136307
8200,105880
49000,19985
4000,102590
39000,27612
29000,90855
46500,19936
7805,64495
22000,39477
18800,25698
33000,73849
39500,25422
16900,47866
42500,31236
39500,26755
25500,49177
49500,20749
25000,15003
40000,12247
26000,1
29500,10808
23000,11263
25500,42307
44500,17484
15600,37106
23100,9539
37000,2384
14500,20590
23000,13896
26500,9451
18000,31657
35700,33907
31000,10028
2000,175640
40400,30770
43600,15141
22600,18431
26000,9604
23200,9516
29000,9718
22800,16506
3450,192108
31000,11028
22900,11313
3000,141595
28000,12886
23200,9556
27000,13269
22800,16770
31500,13526
23400,16391
28000,11437
23400,17964
28000,5440
24900,13035
23500,15759
36000,30002
28700,13673
16000,24480
31000,13230
16500,137789
28500,13516
10800,81660
28500,11763
25000,34165
31000,13458
7800,104867
28500,14004
9500,69829
28500,13405
14500,96151
25000,12688
14500,116519
28500,12260
12100,29367
29400,18982
24700,23795
8700,76572
29500,15964
25800,28117
17500,116730
23900,21055
22900,27794
19500,56995
29500,16625
24500,27689
11000,39851
22400,31727
15700,31586
11000,33717
28000,18418
13500,39013
7300,125451
25100,21346
24100,21150
6500,103862
10500,22001
16900,31261
6000,140870
28500,14358
16200,41672
6500,95655
24500,19493
16500,36956
56500,23223
10400,13085
22800,36124
26500,19147
23800,24993
24700,41127
12400,32365
16600,27774
11200,105027
15900,27806
7700,54198
15100,30181
7200,82670
15600,36305
39700,10475
16000,34734
7500,186713
15500,132150
19000,12928
5500,116539
38700,59549
21000,12174
28500,96129
37200,89809
18500,18202
15000,128505
37700,43527
22200,15792
39950,9278
37600,41925
18500,16924
10000,119869
20500,17260
5700,89490
21000,40772
22500,25623
29000,11669
13200,138524
25500,13644
25700,147935
18900,44456
31500,20357
45500,66366
11000,43532
18288,45218
20000,85688
36600,58902
18299,59869
10000,35021
4100,100264
30995,157057
1750,181316
31500,23222
13500,87686
7500,162918
650,0
22800,32526
11300,69402
32700,76336
1350,163334
21900,47628
11700,135283
6500,147903
9800,74181
11000,77386
1150,123349
13000,136661
5500,109600
6000,125369
11200,122861
5000,110826
23400,12198
13500,45512
22900,15656
20000,23984
22900,15821
27000,12748
54500,9865
20600,17858
23500,6711
53000,14939
23600,15820
33500,6140
24400,25552
13000,54984
48400,24783
26500,148442
46200,34191
9300,82072
13500,104559
27600,13265
7400,133314
26500,22458
26000,70106
24500,23712
2100,101848
16700,14994
17500,59726
17000,16448
22500,28801
34500,28938
16600,19022
7500,93832
34500,25046
25000,22318
36000,17301
23700,27413
28600,39733
23500,74195
25300,44383
24900,19151
20300,188394
23400,2452
14600,36252
25500,27136
14700,35951
33700,35221
33400,33808
34000,32022
17500,34173
14100,24272
30000,19055
16500,34822
30600,15422
12800,24765
26000,23019
46000,38243
28500,16509
24300,18762
29000,28854
15300,17392
27900,13558
24700,27082
14400,17510
15000,24662
17200,96076
12800,22858
46900,740
2800,110748
16200,25090
25200,7
34800,34277
52000,34527
26000,99923
40600,39170
55000,16569
5000,80612
36400,36616
7500,92165
14700,44778
43900,2089
6400,91652
41100,35801
23000,88781
13900,36978
19000,189776
34800,35233
22000,151641
16300,37044
18800,15835
13000,201187
40900,41928
47000,37059
12800,33763
25500,29850
17800,26675
25700,17828
17200,29632
35000,11544
28800,21976
39200,43617
13600,49254
24200,51589
46900,41399
26500,11734
24700,41628
12600,15075
31800,26591
24500,22906
26000,33462
21000,32747
22500,33717
7700,85218
23100,23512
9200,57853
19600,33324
11700,23803
27300,31260
14300,69428
23600,15755
6200,90946
22400,51370
5700,99941
23600,15456
4600,141603
37500,2382
10700,99544
31900,21546
31600,16293
12600,40375
5300,143191
3900,363
13000,59656
11800,37878
24600,20628
14500,71205
24300,26186
12300,38157
14800,30325
17100,31561
6800,66655
20300,19029
26300,11739
22500,50423
41200,25638
20400,59798
49900,5035
12100,32284
24000,40371
9500,107569
9000,96451
9800,94851
7800,108727
17200,91979
18800,76258
9800,147574
7000,104764
44000,16934
23400,13822
30700,5250
15600,33451
22600,14291
22900,16725
22800,13002
22700,18902
23000,9732
22700,18947
23000,8402
34400,17450
36500,53986
23100,15848
23300,10770
22600,14587
4500,98625
23000,10916
8000,107173
11500,10134
9400,43056
23000,10655
2800,173601
22600,14231
23000,8985
5200,84338
19200,104290
10100,45592
6200,103960
14000,110333
5000,138516
9200,49094
14700,97526
3000,87420
30200,67052
3800,58913
3200,999999
21500,14482
4900,57084
23000,90251
11200,97320
10400,80652
13200,99816
5200,115429
10500,85549
11900,83030
21200,130168
23500,80090
4700,118593
11100,143704
22000,53507
14000,48408
9200,109672
23300,28549
21700,114500
11200,67140
11300,42168
4200,80032
10900,52240
42300,34874
10500,119689
43400,37355
12500,100947
15900,26040
42500,36638
15000,137004
24700,31794
15500,131106
49000,22013
29000,42291
16800,13155
51000,24869
16500,18454
10000,16694
27900,28922
23700,23534
20000,24581
45600,35646
6000,129873
15600,28669
25000,32454
28500,21800
8000,231769
19990,23796
34400,42506
30999,6249
41000,47496
27999,10700
42000,39604
8000,250831
29795,7275
24700,8806
13995,105115
2900,57340
35400,36167
24549,44941
8900,53102
15800,26637
18500,45814
32000,17310
28300,24116
10500,14128
24970,49882
13800,38964
2580,102705
59975,71
2500,98620
28990,15825
50000,29499
33800,100255
59975,174
2500,167552
46999,16956
16700,36896
34700,77281
28900,24795
30800,16771
27100,28692
13388,113821
26000,19793
17900,27940
23400,24987
29800,18367
23700,14109
1725,158781
33995,27369
23500,30208
32500,24024
2500,64999
39000,8404
11000,8884
32500,24126
800,129659
26900,31713
11200,109996
21000,6821
32000,17867
7300,110253
12800,39364
24190,4018
29100,21054
29000,48309
17300,68666
19888,34071
31000,13600
37200,44956
8600,72607
24857,33815
23500,31491
26100,32149
10800,26654
20995,36637
29300,17000
33100,15960
13800,40774
19498,40338
14900,40505
8700,30735
20600,33965
5000,7339
19995,42470
14900,40670
19500,41233
24500,13162
15000,38744
26985,14023
31000,9741
24300,31017
16800,37786
17200,32415
34995,10421
24300,29305
26400,51309
16800,38001
15500,18849
19440,43269
16700,36989
29000,29320
16100,34244
17200,32938
20950,40793
46200,94741
29400,25011
2825,363810
32999,6881
6600,80423
50200,92405
